Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
wednesday,unknown,male,Higher Education,employee,Experienced,Heavy Vehicle,owner,5-10yrs,no defect,Other,double carriageway (median),Curved Road,no junction,earth roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
friday,18-30,male,Basic Education,employee,Experienced,Public Transport,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Priority Violation,severe injury
tuesday,31-50,male,Basic Education,employee,Intermediate,Private Vehicle,owner,5-10yrs,no defect,Public/Institutional,unknown,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Object Collision,2,1,Vehicle Exit/Loss of Control,3,Not Involved,Negligence,slight injury
tuesday,18-30,male,Low Education,employee,Experienced,Private Vehicle,owner,1-2yr,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Reversing,na,Not Involved,Negligence,slight injury
thursday,31-50,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,unknown,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,severe injury
saturday,31-50,male,Basic Education,employee,New Driver,Private Vehicle,owner,above 10yr,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,slight injury
saturday,under 18,male,Low Education,employee,New Driver,Other,owner,2-5yrs,no defect,Other,other,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Clear,Rollover/Fall,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
thursday,under 18,unknown,Basic Education,employee,New Driver,Other,owner,above 10yr,no defect,Public/Institutional,two-way (divided with broken lines road marking),Steep/Sloped Terrain,y shape,asphalt roads,wet or damp,daylight,Wind/Storm,Rollover/Fall,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,under 18,male,Basic Education,employee,Experienced,Other,governmental,1-2yr,no defect,Other,double carriageway (median),Straight Road,y shape,gravel roads,wet or damp,daylight,Wind/Storm,Human Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,unknown,female,Basic Education,employee,Veteran,Public Transport,governmental,above 10yr,no defect,Other,double carriageway (median),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Wind/Storm,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Substance Abuse,slight injury
wednesday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,organization,5-10yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Curved Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Wind/Storm,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
thursday,under 18,male,Basic Education,employee,Intermediate,Public Transport,organization,above 10yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,over 51,male,Basic Education,employee,Intermediate,Private Vehicle,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,other,wet or damp,darkness - lights lit,Clear,Human Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Priority Violation,slight injury
saturday,unknown,male,Basic Education,employee,Veteran,Private Vehicle,governmental,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Human Collision,2,1,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
tuesday,18-30,male,Basic Education,owner,New Driver,Heavy Vehicle,owner,2-5yrs,no defect,Public/Institutional,one way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Priority Violation,slight injury
tuesday,unknown,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,1-2yr,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,3,Not Involved,Priority Violation,slight injury
saturday,31-50,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,above 10yr,no defect,Commercial/Workplace,other,Steep/Sloped Terrain,y shape,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
saturday,31-50,male,Basic Education,employee,Intermediate,Public Transport,owner,above 10yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
monday,31-50,male,Basic Education,employee,Veteran,Public Transport,owner,5-10yrs,no defect,Commercial/Workplace,undivided two way,Straight Road,t shape,asphalt roads,wet or damp,darkness - lights lit,Other,Object Collision,1,1,Reversing,na,Not Involved,Lane Violation,severe injury
saturday,unknown,female,Basic Education,employee,Veteran,Other,owner,unknown,no defect,Leisure/Public Space,other,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,2,Not Involved,Negligence,slight injury
saturday,31-50,male,Basic Education,other,Veteran,Public Transport,governmental,unknown,no defect,Commercial/Workplace,other,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Lane Violation,slight injury
sunday,unknown,male,Basic Education,employee,Veteran,Other,owner,5-10yrs,no defect,Commercial/Workplace,other,Straight Road,no junction,asphalt roads,wet or damp,daylight,Clear,Object Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,severe injury
sunday,18-30,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Reversing,3,Not Involved,Lane Violation,severe injury
friday,over 51,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Other,Vehicle Collision,1,1,Vehicle Exit/Loss of Control,na,Not Involved,Substance Abuse,slight injury
saturday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,governmental,above 10yr,no defect,Urban/Residential,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Rain,Object Collision,2,1,Reversing,3,Not Involved,Negligence,slight injury
saturday,31-50,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,1-2yr,no defect,Commercial/Workplace,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Rain,Object Collision,2,1,Moving Forward,na,Not Involved,Vehicle Loss of Control,slight injury
saturday,over 51,male,Basic Education,employee,New Driver,Special Vehicle,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,y shape,gravel roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,severe injury
saturday,18-30,male,Basic Education,owner,Intermediate,Heavy Vehicle,owner,unknown,no defect,Urban/Residential,other,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,severe injury
saturday,18-30,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Other,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
saturday,under 18,male,Low Education,employee,Intermediate,Public Transport,owner,2-5yrs,no defect,Commercial/Workplace,double carriageway (median),Hazardous Terrain,no junction,asphalt roads,wet or damp,darkness - lights lit,Other,Vehicle Collision,2,1,Reversing,na,Not Involved,Lane Violation,slight injury
thursday,unknown,male,Basic Education,employee,Intermediate,Private Vehicle,owner,above 10yr,no defect,Commercial/Workplace,other,Straight Road,no junction,other,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Other,Lane Violation,slight injury
sunday,unknown,female,Higher Education,employee,Intermediate,Private Vehicle,owner,1-2yr,no defect,Commercial/Workplace,undivided two way,Hazardous Terrain,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,slight injury
monday,under 18,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,y shape,other,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
monday,unknown,male,Higher Education,employee,Experienced,Public Transport,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
monday,unknown,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,other,Straight Road,no junction,asphalt roads,dry,daylight,Other,Vehicle Collision,1,1,Vehicle Exit/Loss of Control,3,Not Involved,Negligence,slight injury
tuesday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,other,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,5-10yrs,no defect,Urban/Residential,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Negligence,slight injury
tuesday,unknown,male,Higher Education,employee,Unlicensed/Unknown,Heavy Vehicle,owner,unknown,no defect,Other,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Negligence,slight injury
friday,over 51,male,Basic Education,owner,Experienced,Special Vehicle,owner,5-10yrs,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Speed Violation,slight injury
wednesday,over 51,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Leisure/Public Space,other,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Reversing,3,Not Involved,Priority Violation,slight injury
wednesday,unknown,unknown,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Reversing,na,Not Involved,Priority Violation,slight injury
wednesday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,other,Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
wednesday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,other,Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Priority Violation,slight injury
friday,31-50,male,Basic Education,employee,Experienced,Other,owner,2-5yrs,no defect,Commercial/Workplace,double carriageway (median),Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
friday,under 18,male,Basic Education,employee,Intermediate,Other,owner,2-5yrs,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Object Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
monday,18-30,male,Basic Education,owner,Veteran,Other,owner,unknown,no defect,Commercial/Workplace,other,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Human Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with solid lines road marking),Straight Road,other,asphalt roads,wet or damp,darkness - lights lit,Other,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Speed Violation,slight injury
thursday,under 18,male,Basic Education,owner,Veteran,Public Transport,governmental,below 1yr,no defect,Urban/Residential,undivided two way,Straight Road,other,asphalt roads,wet or damp,darkness - lights lit,Other,Object Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
sunday,unknown,female,Basic Education,employee,Experienced,Heavy Vehicle,owner,5-10yrs,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Other,Vehicle Collision,2,1,Other,2,Not Involved,Lane Violation,slight injury
sunday,31-50,male,Basic Education,owner,Experienced,Private Vehicle,governmental,unknown,no defect,Urban/Residential,other,Straight Road,no junction,asphalt roads,dry,daylight,Other,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Substance Abuse,slight injury
tuesday,18-30,male,Basic Education,owner,Veteran,Private Vehicle,owner,1-2yr,no defect,Rural,undivided two way,Curved Road,unknown,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
tuesday,18-30,male,Higher Education,owner,Veteran,Private Vehicle,owner,2-5yrs,no defect,Rural,undivided two way,Curved Road,unknown,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
